Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Wemen Solar Farm,62.4,VIC1,2022-08-30T04:05:00+0000,70.91,64,88,97.5,90,2.256,Jan-39,Wemen Asset Co Pty Ltd As Trustee For Wemen Solar Unit Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WEMENSF1,-34.8026763,142.5456537
Gannawarra Energy Storage System,0,VIC1,2022-08-30T04:05:00+0000,0,0,25,30.875,200,0.6175,Jan-50,EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,GANNBG1,-35.734305,143.779971
Gannawarra Energy Storage System,10.55864,VIC1,2022-08-30T04:05:00+0000,42.23,34.2,25,30.875,200,0.6175,Jan-50,EnergyAustralia Pty Ltd,Load,Market,Scheduled,-,-,Storage,Battery,Y,GANNBL1,-35.734305,143.779971
Susan River Solar Farm,8.77,QLD1,2022-08-30T04:05:00+0000,11.69,10.29,75,85.26,255,1.74,Jan-49,Susan River Solar Pty Ltd as Trustee for Susan River Solar Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,N,SRSF1,-25.4172643,152.7373831
Childers Solar Farm,12.05,QLD1,2022-08-30T04:05:00+0000,21.52,18.72,56,64.38,192,1.51,Jan-37,Childers Solar Pty Ltd ATF The Childers Solar Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,CHILDSF1,-25.29276553,152.4050364
Tailem Bend Solar Project 1,0,SA1,2022-08-30T04:05:00+0000,0,0,95,108,19,1.795,Jan-54,Vena Energy Services (Australia) Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,TBSF1,-35.275621,139.4849363
Lilyvale Solar Farm,6.06208,QLD1,2022-08-30T04:05:00+0000,6.06,5.14,100,118,20,1.35,Jan-74,Ergon Energy Queensland Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,LILYSF1,-23.08747286,148.4390008
Oakey 1 Solar Farm,2.6,QLD1,2022-08-30T04:05:00+0000,10.4,8.67,25,30,1000,2.083,1-Dec,Diamond Energy Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,OAKEY1SF,-27.409398,151.6336956
Lincoln Gap Wind Farm,0,SA1,2022-08-30T04:05:00+0000,0,0,123,126,25,3.514,Jan-35,Lincoln Gap Wind Farm (Operations) Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,LGAPWF1,-32.56450753,137.5571919
Murra Warra Wind Farm,176.2,VIC1,2022-08-30T04:05:00+0000,78.07,76.01,225.7,231.8,45,3.7,Jan-61,Telstra Energy (Generation) Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,MUWAWF1,-36.43326079,142.3181905
Beryl Solar Farm,14.62959,NSW1,2022-08-30T04:05:00+0000,16.82,14.93,87,98,88,1.64,Jan-60,FS NSW Project No 1 At Pty Ltd ATF The FS NSW Project No 1 Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BERYLSF1,-32.357514,149.471642
Numurkah Solar Farm,52.69,VIC1,2022-08-30T04:05:00+0000,52.69,47.04,100,112,20,1.785,Jan-56,Numurkah Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,NUMURSF1,-36.15924846,145.474552
Haughton Solar Farm Stage 1,36.88653,QLD1,2022-08-30T04:05:00+0000,36.89,27.94,100,132,20,1.23,Jan-81,Pacific Hydro Haughton Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HAUGHT11,-19.7485,147.04851
Rugby Run Solar Farm,8.85504,QLD1,2022-08-30T04:05:00+0000,13.62,10.67,65,83,17,2.6,Jan-25,Braemar Power Project Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,RUGBYR1,-22.14046924,147.9187653
Coopers Gap Wind Farm,16.03,QLD1,2022-08-30T04:05:00+0000,3.64,3.55,440,452,100,"3.52, 3.71, 3.53, 3.72","1-48, 49-62, 63-105, 106-123",AGL PARF QLD Pty Limited,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,COOPGWF1,-26.733227,151.47227
Clermont Solar Farm,8.6,QLD1,2022-08-30T04:05:00+0000,11.47,9.3,75,92.5,90,2.03,Jan-37,Clermont Asset Co Pty Ltd ATF Clermont Solar Unit Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,CLERMSF1,-22.84464393,147.5855234
Yendon Wind Farm,87.32001,VIC1,2022-08-30T04:05:00+0000,61.49,60.47,142,144.4,28,3.763,Jan-38,Lal Lal Wind Farms Nom Co Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,YENDWF1,-37.6314377,144.0207883
Finley Solar Farm,32.89375,NSW1,2022-08-30T04:05:00+0000,24.73,20.26,133,162.36,27,1.34,99,Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,FINLYSF1,-35.644788,145.508523
Oakey 2 Solar Farm,4.8,QLD1,2022-08-30T04:05:00+0000,8.73,7.38,55,65,32,2.115,Jan-26,Diamond Energy Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,OAKEY2SF,-27.409398,151.6336956
Lake Bonney BESS1,0,SA1,2022-08-30T04:05:00+0000,0,0,25,25,5,0.52,Jan-48,Lake Bonney Wind Power Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,LBBG1,-37.78154577,140.4057917
Lake Bonney BESS1,0,SA1,2022-08-30T04:05:00+0000,0,0,25,25,5,0.52,Jan-48,Lake Bonney Wind Power Pty Ltd,Load,Market,Scheduled,-,-,Storage,Battery,Y,LBBL1,-37.78154577,140.4057917
Barker Inlet Power Station,0,SA1,2022-08-30T04:05:00+0000,0,0,210,211,42,17.5,1-Dec,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,Y,BARKIPS1,-34.804104,138.524917
Nevertire Solar Farm,91.55,NSW1,2022-08-30T04:05:00+0000,87.19,69.36,105,132,0,2.18,Jan-48,Elliott Nevertire Solar Pty Ltd as Trustee for the Elliott Nevertire Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,NEVERSF1,-31.827987,147.706024
Granville Harbour Wind Farm,44.69,TAS1,2022-08-30T04:05:00+0000,40.26,40.63,111,110,22,3.55,Jan-31,Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,GRANWF1,-41.78272,145.04872
Limondale Solar Farm 2,8.903,NSW1,2022-08-30T04:05:00+0000,30.7,23.43,29,38,6,2.07,Jan-14,Limondale Sun Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,LIMOSF21,-34.80568,143.49422
Cattle Hill Wind Farm,41.04982,TAS1,2022-08-30T04:05:00+0000,28.51,27.74,144,148,6,3,Jan-48,Wild Cattle Hill Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CTHLWF1,-42.159931,146.708927
Yarranlea Solar Farm,12.33,QLD1,2022-08-30T04:05:00+0000,11.97,10.19,103,121,20,2.34,Jan-44,Yarranlea Solar Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,YARANSF1,-27.70637,151.54123
Maryrorough Solar Farm,3.37,QLD1,2022-08-30T04:05:00+0000,12.48,10.21,27,33,6,2.25,1-Dec,Diamond Energy Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MARYRSF1,-25.54758801,152.7170961
Dundonnell Wind Farm,157.67999,VIC1,2022-08-30T04:05:00+0000,93.86,93.86,168,168,34,4.2,Jan-40,Dundonnell Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,DUNDWF1,-37.862415,142.970552
Dundonnell Wind Farm,41.34,VIC1,2022-08-30T04:05:00+0000,89.87,89.87,46,46,10,4.18,41-51,Dundonnell Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,DUNDWF2,-37.862415,142.970552
Dundonnell Wind Farm,116.21,VIC1,2022-08-30T04:05:00+0000,95.25,96.04,122,121,25,4.2,52-80,Dundonnell Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,DUNDWF3,-37.862415,142.970552
Bomen Solar Farm,40.99875,NSW1,2022-08-30T04:05:00+0000,41,33.88,100,121,18,2.273,Jan-44,Bomen Solar Farm Pty Ltd as trustee for Bomen SF Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BOMENSF1,-35.04972,147.44424
Elaine Wind Farm,64.18,VIC1,2022-08-30T04:05:00+0000,78.27,76.77,82,83.6,16,3.8,Jan-22,Lal Lal Wind Farms Nom Co Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,ELAINWF1,-37.635595,144.024737
